mh_cost_barrier,barrier_count,n_unweighted,weighted_population,observed_prevalence_pct
MH care cost barrier,0,2093,6167572.517333333,31.811031722547046
MH care cost barrier,1,444,1400025.0603333334,41.91593759949889
MH care cost barrier,2,398,1207947.6756666666,44.4142703204346
MH care cost barrier,3,573,1735202.8456666665,57.946453609790524
No MH care cost barrier,0,56458,150782740.64166665,10.116434962263947
No MH care cost barrier,1,2221,6082630.507666666,20.405383144166336
No MH care cost barrier,2,1158,3290085.432333333,22.210429101687186
No MH care cost barrier,3,1023,2878903.488,24.902366288239623
