model,weighted_auc,weighted_brier,calibration_intercept,calibration_slope,weighted_ece_10_bins
LASSO logistic,0.7871492360275637,0.08149562184215721,-0.07504462559875182,0.9593430124320489,0.011422685128752108
Weighted logistic,0.7871314482241406,0.08155131801204085,-0.10635860690797087,0.9407505513963674,0.011216967568630025
Random forest,0.7825974405960765,0.08258298292816976,0.34959696947958263,1.1887907483860158,0.017346593247907296
