risk_group,weighted_population_pct,mean_predicted_risk_pct,observed_prevalence_pct
0-2.5%,15.817127895783793,1.6775674498596966,1.5967764994908458
2.5-5%,24.711281361294102,3.6699892714724514,3.6616394156252863
5-8%,20.391729319700598,6.353690809838891,5.52729111068467
8-10%,8.155311988001026,8.94091359964236,11.489364746076753
10-15%,11.580894394927777,12.198243008092021,13.293720805344817
15-20%,5.817356655456547,17.297376111113195,19.740346857323143
20-30%,6.180492214661983,24.201360350291885,24.6375134950547
30-40%,3.0982668386762877,34.399416272530445,33.40128542894693
40-60%,3.1276641195672825,48.642888809566614,42.347502517324955
60-100%,1.1198752119305995,72.55045091842783,63.99766468213114
